,roman_cp,probability
331,"vi,V,IV,I,V","0.138,0.202,0.429,0.237,0.234"
332,"vi,V,IV,I,IV","0.138,0.202,0.429,0.237,0.069"
333,"vi,V,IV,vi,V","0.138,0.202,0.429,0.156,0.825"
334,"vi,V,IV,vi,IV","0.138,0.202,0.429,0.156,0.074"
335,"vi,V,IV,iii,vi","0.138,0.202,0.429,0.095,0.456"
336,"vi,V,IV,iii,ii","0.138,0.202,0.429,0.095,0.228"
337,"vi,V,IV,iii,IV","0.138,0.202,0.429,0.095,0.136"
338,"vi,V,IV,iii,I","0.138,0.202,0.429,0.095,0.057"
339,"vi,V,IV,ii,vi","0.138,0.202,0.429,0.083,0.43"
340,"vi,V,IV,ii,I","0.138,0.202,0.429,0.083,0.207"
341,"vi,V,IV,ii,V","0.138,0.202,0.429,0.083,0.104"
342,"vi,V,IV,ii,iii","0.138,0.202,0.429,0.083,0.098"
343,"vi,V,I,IV,vi","0.138,0.202,0.17,0.399,0.579"
344,"vi,V,I,IV,V","0.138,0.202,0.17,0.399,0.178"
345,"vi,V,I,IV,I","0.138,0.202,0.17,0.399,0.105"
346,"vi,V,I,V,vi","0.138,0.202,0.17,0.152,0.434"
347,"vi,V,I,V,IV","0.138,0.202,0.17,0.152,0.315"
348,"vi,V,I,V,I","0.138,0.202,0.17,0.152,0.168"
349,"vi,V,I,vi,V","0.138,0.202,0.17,0.108,0.769"
350,"vi,V,I,vi,I","0.138,0.202,0.17,0.108,0.115"
351,"vi,V,I,ii,vi","0.138,0.202,0.17,0.1,0.426"
352,"vi,V,I,ii,IV","0.138,0.202,0.17,0.1,0.106"
353,"vi,V,I,ii,ii<sup>6</sup>","0.138,0.202,0.17,0.1,0.106"
354,"vi,V,I,ii,iii","0.138,0.202,0.17,0.1,0.106"
355,"vi,V,I,ii,I<sup>6</sup>","0.138,0.202,0.17,0.1,0.085"
356,"vi,V,I,ii,I","0.138,0.202,0.17,0.1,0.085"
357,"vi,V,I,iii,vi","0.138,0.202,0.17,0.071,0.609"
358,"vi,V,I,iii,IV","0.138,0.202,0.17,0.071,0.13"
359,"vi,V,I,iii,iii<sup>6</sup>","0.138,0.202,0.17,0.071,0.087"
360,"vi,V,I,iii,V","0.138,0.202,0.17,0.071,0.087"
361,"vi,V,I,iii,I","0.138,0.202,0.17,0.071,0.058"
362,"vi,V,vi,V,vi","0.138,0.202,0.149,0.515,0.692"
363,"vi,V,vi,V,IV","0.138,0.202,0.149,0.515,0.148"
364,"vi,V,vi,I,V","0.138,0.202,0.149,0.127,0.44"
